Nome,URL,LOC,Colaboradores,Commits,MergeCommits,CenariosMergeAnalisados
Ace,https://github.com/ajaxorg/ace,212097,341,7439,199,195
AngularJS,https://github.com/angular/angular.js,116483,1599,8951,34,34
Async,https://github.com/caolan/async,12878,216,1707,372,372
BitcoinJS,https://github.com/bitcoinjs/bitcoinjs-lib,6812,60,2403,375,375
Bluebird,https://github.com/petkaantonov/bluebird,39097,201,2055,216,216
Bower,https://github.com/bower/bower,9951,210,2712,427,427
Bowser,https://github.com/lancedikson/bowser,1853,65,625,129,129
Brackets,https://github.com/adobe/brackets,382360,356,17702,88,88
Chance,https://github.com/chancejs/chancejs,3800,100,841,195,194
d3,https://github.com/d3/d3,40633,123,4157,198,159
director,https://github.com/flatiron/director,5027,53,747,77,77
Dox,https://github.com/tj/dox,2418,34,469,55,55
faker.js,https://github.com/Marak/faker.js,989523,149,984,179,178
fetch,https://github.com/github/fetch,1706,51,587,117,117
Flux,https://github.com/facebook/flux,2314,111,388,114,114
GitBook,https://github.com/GitbookIO/gitbook,4246,85,2377,207,205
i18next,https://github.com/i18next/i18next,1995,115,1284,247,229
impress.js,https://github.com/impress/impress.js,1144,59,362,59,59
Intro.js,https://github.com/usablica/intro.js,817,74,629,169,169
Istanbul,https://github.com/gotwarlost/istanbul,4953,78,572,126,126
Jasmine,https://github.com/jasmine/jasmine,24743,181,1915,285,285
jQuery,https://github.com/jquery/jquery,38069,273,6362,248,245
jquery-pjax,https://github.com/defunkt/jquery-pjax,13483,62,508,98,98
JSHint,https://github.com/jshint/jshint,46360,235,2081,337,337
Konva,https://github.com/konvajs/konva,43073,107,2459,262,257
Less.js,https://github.com/less/less.js,126312,217,2871,458,443
Mocha,https://github.com/mochajs/mocha,15727,397,3072,187,186
Mousetrap,https://github.com/ccampbell/mousetrap,16137,22,370,36,36
mustache.js,https://github.com/janl/mustache.js,1295,90,731,134,134
Nightmare,https://github.com/segmentio/nightmare,3719,111,987,267,267
node_redis,https://github.com/NodeRedis/node_redis,5551,131,1251,200,187
node-restify,https://github.com/restify/node-restify,2999,186,"1,61",305,294
numbers.js,https://github.com/numbers/numbers.js,3241,26,392,92,92
page.js,https://github.com/visionmedia/page.js,2305,82,628,142,128
Paper.js,https://github.com/paperjs/paper.js,13658,64,7177,412,411
Phaser,https://github.com/photonstorm/phaser,396498,400,12123,199,198
PM2,https://github.com/Unitech/pm2,21977,205,4483,197,193
Pug,https://github.com/pugjs/pug,13358,208,2526,459,451
Q,https://github.com/kriskowal/q,8333,70,894,152,148
Request,https://github.com/request/request,2791,284,2263,200,185
RequireJS,https://github.com/requirejs/requirejs,25068,101,1405,157,157
reveal.js,https://github.com/hakimel/reveal.js,9004,227,2202,389,389
socket.io,https://github.com/socketio/socket.io,1806,155,1714,309,290
StatsD,https://github.com/etsy/statsd,2936,170,934,287,287
Stylus,https://github.com/stylus/stylus,3501,156,3908,189,188
three.js,https://github.com/mrdoob/three.js,190818,1031,26208,93,92
Underscore.js,https://github.com/jashkenas/underscore,9126,258,2439,238,238
WebTorrent,https://github.com/webtorrent/webtorrent,4493,116,2392,306,306
whistle,https://github.com/avwo/whistle,3022,9,7498,63,63
Zepto.js,https://github.com/madrobby/zepto,1594,183,1516,242,242
