Nome,falsosPositivos,cenario,algoritmo
Ace,3,nao estruturado,kdiff3
AngularJS,1,nao estruturado,kdiff3
Async,2,nao estruturado,kdiff3
BitcoinJS,0,nao estruturado,kdiff3
Bluebird,0,nao estruturado,kdiff3
Bower,0,nao estruturado,kdiff3
Bowser,0,nao estruturado,kdiff3
Brackets,0,nao estruturado,kdiff3
Chance,5,nao estruturado,kdiff3
d3,0,nao estruturado,kdiff3
director,0,nao estruturado,kdiff3
Dox,0,nao estruturado,kdiff3
faker.js,9,nao estruturado,kdiff3
fetch,0,nao estruturado,kdiff3
Flux,0,nao estruturado,kdiff3
GitBook,0,nao estruturado,kdiff3
i18next,1,nao estruturado,kdiff3
impress.js,1,nao estruturado,kdiff3
Intro.js,0,nao estruturado,kdiff3
Istanbul,0,nao estruturado,kdiff3
Jasmine,0,nao estruturado,kdiff3
jQuery,0,nao estruturado,kdiff3
jquery-pjax,0,nao estruturado,kdiff3
JSHint,6,nao estruturado,kdiff3
Konva,4,nao estruturado,kdiff3
Less.js,4,nao estruturado,kdiff3
Mocha,0,nao estruturado,kdiff3
Mousetrap,0,nao estruturado,kdiff3
mustache.js,0,nao estruturado,kdiff3
Nightmare,1,nao estruturado,kdiff3
node_redis,1,nao estruturado,kdiff3
node-restify,1,nao estruturado,kdiff3
numbers.js,1,nao estruturado,kdiff3
page.js,1,nao estruturado,kdiff3
Paper.js,1,nao estruturado,kdiff3
Phaser,0,nao estruturado,kdiff3
PM2,0,nao estruturado,kdiff3
Pug,0,nao estruturado,kdiff3
Q,0,nao estruturado,kdiff3
Request,0,nao estruturado,kdiff3
RequireJS,2,nao estruturado,kdiff3
reveal.js,9,nao estruturado,kdiff3
socket.io,0,nao estruturado,kdiff3
StatsD,4,nao estruturado,kdiff3
Stylus,1,nao estruturado,kdiff3
three.js,0,nao estruturado,kdiff3
Underscore.js,0,nao estruturado,kdiff3
WebTorrent,0,nao estruturado,kdiff3
whistle,0,nao estruturado,kdiff3
Zepto.js,0,nao estruturado,kdiff3
