Nome,Cenarios_de_merge,Cenarios_de_merge_com_conflitos_de_ordem,%
Ace,195,1,0.51
AngularJS,34,0,0
Async,372,2,0.54
BitcoinJS,375,0,0
Bluebird,216,0,0
Bower,427,0,0
Bowser,129,0,0
Brackets,88,0,0
Chance,194,0,0
d3,159,0,0
director,77,0,0
Dox,55,0,0
faker.js,178,5,2.81
fetch,117,0,0
Flux,114,0,0
GitBook,205,0,0
i18next,229,1,0.44
impress.js,59,1,1.69
Intro.js,169,0,0
Istanbul,126,0,0
Jasmine,285,0,0
jQuery,245,1,0.41
jquery-pjax,98,0,0
JSHint,337,0,0
Konva,257,0,0
Less.js,443,3,0.68
Mocha,186,0,0
Mousetrap,36,0,0
mustache.js,134,0,0
Nightmare,267,0,0
node_redis,187,1,0.53
node-restify,294,1,0.34
numbers.js,92,0,0
page.js,128,0,0
Paper.js,411,1,0.24
Phaser,198,0,0
PM2,193,0,0
Pug,451,0,0
Q,148,0,0
Request,185,0,0
RequireJS,157,2,1.27
reveal.js,389,6,1.54
socket.io,290,0,0
StatsD,287,4,1.39
Stylus,188,1,0.53
three.js,92,0,0
Underscore.js,238,0,0
WebTorrent,306,0,0
whistle,63,0,0
Zepto.js,242,0,0
